D5-DD,D7-DD,D7-UU,D7-DU,subject
0.006271,0.029016,0.061553,0.058076,7
0.006931,0.027379,0.128584,0.053522,7
0.005718,0.090572,0.048493,0.05386,7
0.006567,0.055073,0.121461,0.060213,7
0.0053,0.046702,0.058082,0.052398,7
0.005178,0.038394,0.090776,0.063305,7
0.008563,0.029834,0.068767,0.066059,7
0.009359,0.031344,0.068311,0.056446,7
0.007201,0.027694,0.062283,0.060437,7
0.006756,0.106558,0.079361,0.087986,7
0.00677,0.030652,0.089315,0.053185,7
0.00418,0.01863,0.03516,0.011019,8
0.004019,0.012022,0.013699,0.010907,8
0.003668,0.004091,0.013607,0.027942,8
0.002697,0.014728,0.024201,0.013999,8
0.018326,0.054947,0.048493,0.03407,8
0.003007,0.031785,0.052877,0.014561,8
0.002791,0.014539,0.008311,0.010851,8
0.00263,0.012588,0.009041,0.020802,8
0.005178,0.014036,0.014703,0.010176,8
0.004895,0.046576,0.007763,0.008264,8
0.003911,0.008056,0.005753,0.016473,8
0.003412,0.005853,0.008676,0.023332,8
0.003209,0.050667,0.011142,0.00461,8
0.010006,0.01391,0.006027,0.014674,8
0.002738,0.008182,0.005936,0.013099,8
0.003223,0.029079,0.031963,0.026536,8
0.003115,0.023162,0.021005,0.034407,8
0.004963,0.030841,0.016438,0.029572,8
0.003439,0.045317,0.027306,0.013437,8
0.003628,0.027505,0.016438,0.024006,8
0.003385,0.021022,0.014429,0.009333,8
0.003398,0.014162,0.015616,0.014955,8
0.003102,0.012399,0.010868,0.017147,8
0.003277,0.007427,0.006941,0.015067,8
0.005515,0.042988,0.020731,0.015348,8
0.003735,0.013595,0.015708,0.019115,8
0.003479,0.008434,0.010685,0.01681,8
0.003156,0.011644,0.013607,0.014617,8
0.003115,0.004658,0.011142,0.013887,8
0.003506,0.024673,0.002922,0.008264,8
0.002899,0.013218,0.009589,0.01518,8
0.004207,0.010826,0.008858,0.015461,8
0.003102,0.011455,0.007854,0.015405,8
0.003466,0.009756,0.008858,0.014224,8
0.002886,0.007049,0.007945,0.009389,8
0.004302,0.045443,0.019909,0.038624,8
0.001861,0.032603,0.021005,0.016585,8
0.002346,0.012336,0.005023,0.005453,8
0.007646,0.006986,0.020913,0.017597,8
0.003196,0.011833,0.009498,0.017204,8
0.00209,0.010322,0.007854,0.017822,8
0.002009,0.005665,0.006941,0.017204,8
0.001969,0.010889,0.001461,0.012256,8
0.002023,0.00749,0.008858,0.01591,8
0.00267,0.006042,0.009863,0.012875,8
0.00116,0.009441,0.005936,0.012537,8
0.001578,0.007301,0.009498,0.013156,8
0.001996,0.006735,0.014429,0.01771,8
0.001807,0.011518,0.010776,0.01591,8
0.001861,0.00642,0.008584,0.02187,8
0.003263,0.027127,0.034612,0.015517,9
0.002562,0.02933,0.033881,0.010457,9
0.003061,0.026876,0.036256,0.015798,9
0.002778,0.024232,0.047215,0.039523,9
0.002832,0.025869,0.036347,0.013043,9
0.003142,0.026687,0.031598,0.021083,9
0.002373,0.028512,0.036438,0.019734,9
0.002589,0.026057,0.035342,0.012987,9
0.002603,0.02354,0.043105,0.012875,9
0.002158,0.02461,0.03589,0.016698,9
0.002872,0.028134,0.033333,0.017204,9
0.004504,0.026813,0.03653,0.0122,9
0.002711,0.023288,0.031689,0.012931,9
0.003681,0.025176,0.037626,0.010963,9
0.004113,0.027064,0.033516,0.01383,9
0.003493,0.024547,0.03516,0.020464,9
0.003385,0.026435,0.039361,0.017766,9
0.003978,0.035247,0.031963,0.013324,9
0.002522,0.024043,0.030776,0.013887,9
0.003641,0.037827,0.038721,0.018384,9
0.003156,0.027883,0.037808,0.016641,9
0.004491,0.025994,0.034703,0.012537,9
0.003425,0.028575,0.032603,0.017991,9
0.003452,0.028764,0.036073,0.016079,9
0.002603,0.031785,0.039087,0.030809,9
0.002535,0.02291,0.029132,0.012931,9
0.002212,0.025113,0.030137,0.013043,9
0.003007,0.023729,0.033425,0.012256,9
0.002549,0.021777,0.034795,0.013099,9
0.002805,0.024169,0.038904,0.018834,9
0.002427,0.026372,0.028584,0.012762,9
0.002562,0.058157,0.052237,0.017541,9
0.003061,0.021652,0.031872,0.033227,9
0.002818,0.032226,0.034247,0.02232,9
0.003007,0.037261,0.039817,0.021982,9
0.003601,0.024862,0.0379,0.028223,9
0.002495,0.028009,0.034429,0.019059,9
0.003007,0.0304,0.038721,0.015798,9
0.00263,0.025491,0.034886,0.017597,9
0.002535,0.02568,0.036804,0.013605,9
0.004518,0.026435,0.052146,0.022713,9
0.004167,0.030589,0.035251,0.033114,9
0.00298,0.028701,0.039269,0.015854,9
0.003209,0.027253,0.040457,0.042053,9
0.003425,0.029141,0.056073,0.027773,9
0.00263,0.029834,0.046027,0.023107,9
0.003169,0.038646,0.082192,0.025412,9
0.003263,0.028386,0.037352,0.017091,9
0.003439,0.026561,0.035068,0.014505,9
0.002926,0.044625,0.035342,0.018497,9
0.004261,0.015358,0.019087,0.0113,10
0.004302,0.018756,0.021279,0.013324,10
0.003668,0.021526,0.020365,0.015629,10
0.004909,0.010511,0.015434,0.012087,10
0.003371,0.012903,0.017717,0.009501,10
0.002306,0.013029,0.014612,0.016304,10
0.00298,0.013155,0.01726,0.013887,10
0.002508,0.010637,0.018356,0.012425,10
0.002778,0.007364,0.018539,0.010007,10
0.002185,0.008245,0.019452,0.00967,10
0.00263,0.017812,0.016347,0.01726,10
0.001497,0.007868,0.01726,0.024231,10
0.001146,0.006735,0.011416,0.016248,10
0.002764,0.011644,0.015342,0.016979,10
0.00085,0.007553,0.019909,0.011694,10
0.001726,0.011707,0.012877,0.0122,10
0.002926,0.007616,0.015068,0.013662,10
0.002225,0.011707,0.02484,0.007421,10
0.001982,0.006861,0.016256,0.018609,10
0.001699,0.024043,0.00758,0.015011,10
0.002859,0.007616,0.01653,0.014336,10
0.005354,0.01114,0.015251,0.016922,10
0.002711,0.014288,0.018174,0.022095,10
0.002144,0.006294,0.015799,0.011919,10
0.002319,0.007427,0.014338,0.017653,10
0.002185,0.010385,0.012694,0.013156,10
0.001821,0.014288,0.022466,0.017428,10
0.002158,0.006923,0.014703,0.024512,10
0.003587,0.017057,0.012329,0.012706,10
0.002252,0.010448,0.017626,0.010963,10
0.003398,0.02184,0.028037,0.033451,10
0.00236,0.007742,0.023927,0.015461,10
0.001888,0.012966,0.014886,0.019228,10
0.001928,0.006735,0.011872,0.012144,10
0.003021,0.00642,0.026027,0.007309,10
